"PPG_Item","Category","Market","Retailer","Brand","Display_Spend","Feature_Spend"
"CW FANCY FEAST MEDLEYS 03OZ 18CT","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CW FRISKIES 03OZ 12CT","Wet Cat","ROM","Fareway","Friskies",0,0
"CW FRISKIES 05.5OZ 12CT","Wet Cat","ROM","Fareway","Friskies",0,0
"CW FANCY FEAST BROTHS 01.4OZ 12CT","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CW FRISKIES 03OZ 24CT","Wet Cat","ROM","Fareway","Friskies",0,0
"CW FANCY FEAST ML 03OZ 48CT","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CL TIDY CATS CLUMP LW 08.5LB","Litter","Retailer","Fareway","Tidy Cats",0,0
"CL TIDY CATS CLUMP LW 08.5LB","Litter","ROM","Fareway","Tidy Cats",0,0
"CW FANCY FEAST NATURALS ML 03OZ","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"DW BENEFUL 10OZ","Wet Dog","Retailer","Fareway","Beneful",0,0
"DW BENEFUL 10OZ","Wet Dog","ROM","Fareway","Beneful",0,0
"CW FANCY FEAST ML 03OZ 24CT","Wet Cat","Retailer","Fareway","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ 24CT","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CW FRISKIES 05.5OZ 40CT","Wet Cat","ROM","Fareway","Friskies",0,0
"CW FANCY FEAST SAVRY CNTR 03OZ","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CL TIDY CATS CLUMP NON-LW 14LB","Litter","Retailer","Fareway","Tidy Cats",0,0
"CL TIDY CATS CLUMP NON-LW 14LB","Litter","ROM","Fareway","Tidy Cats",0,0
"CW FANCY FEAST SAVRY CNTR 03OZ 12CT","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CL TIDY CATS CLUMP NON-LW 20LB","Litter","Retailer","Fareway","Tidy Cats",0,0
"CL TIDY CATS CLUMP NON-LW 20LB","Litter","ROM","Fareway","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 25LB","Litter","ROM","Fareway","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 10LB","Litter","Retailer","Fareway","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 10LB","Litter","ROM","Fareway","Tidy Cats",0,0
"CW FRISKIES 05.5OZ 32CT","Wet Cat","Retailer","Fareway","Friskies",0,0
"CW FRISKIES 05.5OZ 32CT","Wet Cat","ROM","Fareway","Friskies",0,0
"DC KIT KABOODLE 16LB","Dry Cat","Retailer","Fareway","Kit & Kaboodle",0,0
"DC KIT KABOODLE 16LB","Dry Cat","ROM","Fareway","Kit & Kaboodle",0,0
"DC FRISKIES ML 16LB","Dry Cat","Retailer","Fareway","Friskies",0,0
"DC FRISKIES ML 16LB","Dry Cat","ROM","Fareway","Friskies",0,0
"DC FRISKIES ML 03.2LB","Dry Cat","Retailer","Fareway","Friskies",0,0
"DC FRISKIES ML 03.2LB","Dry Cat","ROM","Fareway","Friskies",0,0
"DC PURINA ONE ML 03.5LB","Dry Cat","Retailer","Fareway","Purina One",0,0
"DC PURINA ONE ML 03.5LB","Dry Cat","ROM","Fareway","Purina One",0,0
"DC PURINA ONE TRGTD 03.5LB","Dry Cat","Retailer","Fareway","Purina One",0,0
"DC PURINA ONE TRGTD 03.5LB","Dry Cat","ROM","Fareway","Purina One",0,0
"DC CAT/KITTEN CHOW 06.3LB","Dry Cat","Retailer","Fareway","Cat Chow Line",0,0
"DC CAT/KITTEN CHOW 06.3LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"CW FRISKIES LIL SOUPS 01.2OZ","Wet Cat","ROM","Fareway","Friskies",0,0
"DC CAT/KITTEN CHOW NATURALS 13LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"DC BEYOND GR FR 03LB","Dry Cat","ROM","Fareway","Beyond",0,0
"DC BEYOND GR FR 05LB","Dry Cat","ROM","Fareway","Beyond",0,0
"DC BEYOND KITTEN 03LB","Dry Cat","ROM","Fareway","Beyond",0,0
"DC BEYOND SIMPLY 03LB","Dry Cat","ROM","Fareway","Beyond",0,0
"DC BEYOND SIMPLY 06LB","Dry Cat","ROM","Fareway","Beyond",0,0
"DC BEYOND ORGANIC 03LB","Dry Cat","ROM","Fareway","Beyond",0,0
"CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ 18CT","Wet Cat","Retailer","Fareway","Friskies",0,0
"CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ 18CT","Wet Cat","ROM","Fareway","Friskies",0,0
"DC CAT/KITTEN CHOW 13-15LB","Dry Cat","Retailer","Fareway","Cat Chow Line",0,0
"DC CAT/KITTEN CHOW 13-15LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"DC CAT/KITTEN CHOW 12LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"DC CAT/KITTEN CHOW 20LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"DC CAT/KITTEN CHOW 25LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"DC CAT/KITTEN CHOW 03.2LB","Dry Cat","Retailer","Fareway","Cat Chow Line",0,0
"DC CAT/KITTEN CHOW 03.2LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"DC CAT/KITTEN CHOW 01.1LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"DC CAT CHOW NATURALS GF 13LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"DC CAT CHOW NATURALS GF 03.2LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"DC CAT CHOW NATURALS GF 06.3LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"CL TIDY CATS NON-CLUMP 20LB","Litter","Retailer","Fareway","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 20LB","Litter","ROM","Fareway","Tidy Cats",0,0
"DT ALPO DT 08.8OZ","Dog Treats","Retailer","Fareway","Alpo",0,0
"DT ALPO DT 08.8OZ","Dog Treats","ROM","Fareway","Alpo",0,0
"DC CAT/KITTEN CHOW NATURALS 18LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"DC CAT/KITTEN CHOW NATURALS 03.2LB","Dry Cat","Retailer","Fareway","Cat Chow Line",0,0
"DC CAT/KITTEN CHOW NATURALS 03.2LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"DC CAT/KITTEN CHOW NATURALS 06.3LB","Dry Cat","ROM","Fareway","Cat Chow Line",0,0
"CW FRISKIES 05.5OZ 60CT","Wet Cat","ROM","Fareway","Friskies",0,0
"DC FANCY FEAST 01LB","Dry Cat","ROM","Fareway","Fancy Feast",0,0
"DC FANCY FEAST 03LB","Dry Cat","ROM","Fareway","Fancy Feast",0,0
"DC FANCY FEAST 07LB","Dry Cat","ROM","Fareway","Fancy Feast",0,0
"DC FRISKIES FRM FAV 16LB","Dry Cat","ROM","Fareway","Friskies",0,0
"DC FRISKIES FRM FAV 03.2LB","Dry Cat","ROM","Fareway","Friskies",0,0
"DC FRISKIES ML 12LB","Dry Cat","ROM","Fareway","Friskies",0,0
"DC FRISKIES ML 22LB","Dry Cat","ROM","Fareway","Friskies",0,0
"DC FRISKIES ML 30LB","Dry Cat","ROM","Fareway","Friskies",0,0
"DC KIT KABOODLE 11LB","Dry Cat","ROM","Fareway","Kit & Kaboodle",0,0
"DC KIT KABOODLE 13LB","Dry Cat","ROM","Fareway","Kit & Kaboodle",0,0
"DC KIT KABOODLE 0.75-1.1LB","Dry Cat","ROM","Fareway","Kit & Kaboodle",0,0
"DC KIT KABOODLE 22LB","Dry Cat","ROM","Fareway","Kit & Kaboodle",0,0
"DC KIT KABOODLE 30LB","Dry Cat","ROM","Fareway","Kit & Kaboodle",0,0
"DC KIT KABOODLE 38LB","Dry Cat","ROM","Fareway","Kit & Kaboodle",0,0
"DC KIT KABOODLE 24LB","Dry Cat","ROM","Fareway","Kit & Kaboodle",0,0
"DC PURINA ONE TRGTD 07LB","Dry Cat","ROM","Fareway","Purina One",0,0
"DC PURINA ONE TRGTD 16LB","Dry Cat","ROM","Fareway","Purina One",0,0
"DC PURINA ONE TRGTD 02.8LB","Dry Cat","ROM","Fareway","Purina One",0,0
"DC PURINA ONE ML 16LB","Dry Cat","ROM","Fareway","Purina One",0,0
"DC PURINA ONE ML 22LB","Dry Cat","ROM","Fareway","Purina One",0,0
"DC PURINA ONE ML 07LB","Dry Cat","Retailer","Fareway","Purina One",0,0
"DC PURINA ONE ML 07LB","Dry Cat","ROM","Fareway","Purina One",0,0
"DC PURINA ONE ML 02.8LB","Dry Cat","ROM","Fareway","Purina One",0,0
"DC PURINA ONE TRU INST 06.3LB","Dry Cat","ROM","Fareway","Purina One",0,0
"DC PURINA ONE TRU INST 03.2LB","Dry Cat","ROM","Fareway","Purina One",0,0
"CW PURINA ONE TRU INST 03OZ","Wet Cat","ROM","Fareway","Purina One",0,0
"CW PURINA ONE TRU INST 03OZ 12CT","Wet Cat","ROM","Fareway","Purina One",0,0
"CT WHISKER LICKINS AO","Cat Treats","Retailer","Fareway","Whisker Lickins",0,0
"CT WHISKER LICKINS AO","Cat Treats","ROM","Fareway","Whisker Lickins",0,0
"CW FRISKIES 05.5OZ","Wet Cat","Retailer","Fareway","Friskies",0,0
"CW FRISKIES 05.5OZ","Wet Cat","ROM","Fareway","Friskies",0,0
"DT BEGGIN MT 06OZ","Dog Treats","Retailer","Fareway","Beggin'",0,0
"DT BEGGIN MT 06OZ","Dog Treats","ROM","Fareway","Beggin'",0,0
"CW FANCY FEAST PETITES 02.8OZ","Wet Cat","Retailer","Fareway","Fancy Feast",0,0
"CW FANCY FEAST PETITES 02.8OZ","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CW FANCY FEAST PETITES 02.8OZ 24CT","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CW FANCY FEAST PETITES 02.8OZ 12CT","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CW BEYOND MIXER DIGEST SUPPORT 01OZ","Wet Cat","ROM","Fareway","Beyond",0,0
"CW FANCY FEAST ML 03OZ 30CT","Wet Cat","Retailer","Fareway","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ 30CT","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CW BEYOND ORGANIC 03OZ","Wet Cat","ROM","Fareway","Beyond",0,0
"CW AO ULTRA","Wet Cat","ROM","Fareway","Beyond",0,0
"DW BELLA 03.5OZ","Wet Dog","Retailer","Fareway","Bella",0,0
"DW BELLA 03.5OZ","Wet Dog","ROM","Fareway","Bella",0,0
"CW FANCY FEAST APPTZRS 01.1OZ","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CW FRISKIES FAV 05.5OZ 24CT","Wet Cat","ROM","Fareway","Friskies",0,0
"CW FRISKIES FAV 05.5OZ","Wet Cat","ROM","Fareway","Friskies",0,0
"CW FRISKIES LIL GRIL/SLUR/PUR 01.6OZ","Wet Cat","ROM","Fareway","Friskies",0,0
"CW FRISKIES LIL SOUPS 01.2OZ 18CT","Wet Cat","ROM","Fareway","Friskies",0,0
"CW FRISKIES PREMIUM 05.5OZ 24CT","Wet Cat","ROM","Fareway","Friskies",0,0
"DW DOG CHOW ML 13 OZ 06CT","Wet Dog","Retailer","Fareway","Dog Chow Line",0,0
"DW DOG CHOW ML 13 OZ 06CT","Wet Dog","ROM","Fareway","Dog Chow Line",0,0
"CW FRISKIES PREMIUM 05.5OZ","Wet Cat","ROM","Fareway","Friskies",0,0
"CW KIT KABOODLE 05.35OZ","Wet Cat","ROM","Fareway","Kit & Kaboodle",0,0
"CL TIDY CATS CLUMP NON-LW BOX 23LB - BOX","Litter","ROM","Fareway","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 40LB","Litter","ROM","Fareway","Tidy Cats",0,0
"DW BELLA 03.5OZ 12CT","Wet Dog","Retailer","Fareway","Bella",0,0
"DW BELLA 03.5OZ 12CT","Wet Dog","ROM","Fareway","Bella",0,0
"DT BUSY CW 17-21OZ","Dog Treats","Retailer","Fareway","Busy",0,0
"DT BUSY CW 17-21OZ","Dog Treats","ROM","Fareway","Busy",0,0
"CL TIDY CATS NON-CLUMP 30LB","Litter","ROM","Fareway","Tidy Cats",0,0
"CL TIDY CATS NON-CLUMP 50LB","Litter","ROM","Fareway","Tidy Cats",0,0
"DW ALPO 13.2OZ 12CT","Wet Dog","ROM","Fareway","Alpo",0,0
"CL TIDY CATS NON-CLUMP 52LB","Litter","ROM","Fareway","Tidy Cats",0,0
"CL TIDY CATS CLUMP NON-LW 40LB","Litter","ROM","Fareway","Tidy Cats",0,0
"DW ALPO 13.2OZ 24CT","Wet Dog","ROM","Fareway","Alpo",0,0
"CL TIDY CATS CLUMP NON-LW 35LB","Litter","ROM","Fareway","Tidy Cats",0,0
"DW BENEFUL 10OZ 12CT","Wet Dog","ROM","Fareway","Beneful",0,0
"CL TIDY CATS CLUMP NON-LW 20LB 2PK","Litter","ROM","Fareway","Tidy Cats",0,0
"DW BENEFUL 10OZ 06CT","Wet Dog","ROM","Fareway","Beneful",0,0
"CL TIDY CATS CLUMP NON-LW 10LB","Litter","ROM","Fareway","Tidy Cats",0,0
"DW BENEFUL 03OZ 12CT","Wet Dog","ROM","Fareway","Beneful",0,0
"CL TIDY CATS BREEZE PELLETS 03.5LB","Litter","ROM","Fareway","Tidy Cats",0,0
"CW FANCY FEAST PURELY FILETS 01OZ","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"CW PURINA ONE TRGTD 03OZ","Wet Cat","ROM","Fareway","Purina One",0,0
"DW BENEFUL INCR N MED 03OZ 30CT","Wet Dog","ROM","Fareway","Beneful",0,0
"CL TIDY CATS BREEZE PADS 04CT","Litter","ROM","Fareway","Tidy Cats",0,0
"CL TIDY CATS CLUMP LW 19.5LB","Litter","ROM","Fareway","Tidy Cats",0,0
"DW BEYOND GR FR 13OZ 6CT","Wet Dog","ROM","Fareway","Beyond",0,0
"DW BENEFUL SPRFOOD 09OZ 06CT","Wet Dog","Retailer","Fareway","Beneful",0,0
"DW BENEFUL SPRFOOD 09OZ 06CT","Wet Dog","ROM","Fareway","Beneful",0,0
"CL TIDY CATS CLUMP LW 06LB","Litter","ROM","Fareway","Tidy Cats",0,0
"DW BEYOND GR FR 13OZ","Wet Dog","ROM","Fareway","Beyond",0,0
"CL TIDY CATS NAT STRG NON-CLUMP 35LB","Litter","ROM","Fareway","Tidy Cats",0,0
"DW BEYOND MIXERS SUPPORT 03OZ","Wet Dog","ROM","Fareway","Beyond",0,0
"CL TIDY CATS NAT STRG NON-CLUMP 20LB","Litter","ROM","Fareway","Tidy Cats",0,0
"DW BEYOND ORGANIC 13OZ","Wet Dog","ROM","Fareway","Beyond",0,0
"CL TIDY CATS NAT STRG CLUMP 14LB","Litter","ROM","Fareway","Tidy Cats",0,0
"CL TIDY CATS PURE NATURE ALT 12LB","Litter","ROM","Fareway","Tidy Cats",0,0
"CL YESTERDAYS NEWS ALT 13.2LB","Litter","ROM","Fareway","Yesterday's News",0,0
"DW BEYOND WILD 13OZ","Wet Dog","ROM","Fareway","Beyond",0,0
"CL YESTERDAYS NEW ALT 10LB","Litter","ROM","Fareway","Yesterday's News",0,0
"DW DOG CHOW ML 13 OZ","Wet Dog","Retailer","Fareway","Dog Chow Line",0,0
"DW DOG CHOW ML 13 OZ","Wet Dog","ROM","Fareway","Dog Chow Line",0,0
"DC KIT KABOODLE 03.2LB","Dry Cat","Retailer","Fareway","Kit & Kaboodle",0,0
"DC KIT KABOODLE 03.2LB","Dry Cat","ROM","Fareway","Kit & Kaboodle",0,0
"DT T BONZ MT 04.5OZ","Dog Treats","Retailer","Fareway","Alpo",0,0
"DT T BONZ MT 04.5OZ","Dog Treats","ROM","Fareway","Alpo",0,0
"CW FANCY FEAST ML 03OZ","Wet Cat","Retailer","Fareway","Fancy Feast",0,0
"CW FANCY FEAST ML 03OZ","Wet Cat","ROM","Fareway","Fancy Feast",0,0
"DW DOG CHOW ML 13 OZ 12CT","Wet Dog","ROM","Fareway","Dog Chow Line",0,0
"DW DOG CHOW ML 13 OZ 24CT","Wet Dog","ROM","Fareway","Dog Chow Line",0,0
"DD ALPO 37-41LB","Dry Dog","ROM","Fareway","Alpo",0,0
"DT BENEFUL BAKED CR 08.5-9.5OZ","Dog Treats","Retailer","Fareway","Beneful",0,0
"DT BENEFUL BAKED CR 08.5-9.5OZ","Dog Treats","ROM","Fareway","Beneful",0,0
"DD PRO PLAN ESSENTIAL 05-6LB","Dry Dog","ROM","Fareway","Pro Plan",0,0
"DW PUPPY CHOW 05.5OZ 8 CT","Wet Dog","ROM","Fareway","Dog Chow Line",0,0
"DW PUPPY CHOW 05.5OZ","Wet Dog","ROM","Fareway","Dog Chow Line",0,0
"DW PURINA ONE 13OZ","Wet Dog","ROM","Fareway","Purina One",0,0
"DW PURINA ONE 13OZ 06CT","Wet Dog","ROM","Fareway","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ 12CT","Wet Dog","ROM","Fareway","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ 06CT","Wet Dog","ROM","Fareway","Purina One",0,0
"DW PURINA ONE TRU INST 13OZ","Wet Dog","ROM","Fareway","Purina One",0,0
"DD ALPO 16LB","Dry Dog","Retailer","Fareway","Alpo",0,0
"DD ALPO 16LB","Dry Dog","ROM","Fareway","Alpo",0,0
"DT BUSY TWISTED CW 66OZ","Dog Treats","ROM","Fareway","Busy",0,0
"DT BUSY ROLLHIDE CW 04-6OZ","Dog Treats","ROM","Fareway","Busy",0,0
"DD DOG CHOW GREEN BG 30-33.5LB","Dry Dog","Retailer","Fareway","Dog Chow Line",0,0
"DD DOG CHOW GREEN BG 30-33.5LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DD DOG CHOW LX 16.5-18LB","Dry Dog","Retailer","Fareway","Dog Chow Line",0,0
"DD DOG CHOW LX 16.5-18LB","Dry Dog","ROM","Fareway","Dog Chow Line",0,0
"DT DENTALIFE DT 06.8-7.8OZ","Dog Treats","Retailer","Fareway","Dentalife",0,0
